id,name,description,iconUrl
1,Noleggio bici,Punti di noleggio biciclette utili per itinerari su due ruote.,
2,Arrampicata,"Falesie, palestre e punti dedicati all'arrampicata.",
3,Kayak e canoa,Centri e spot per kayak e canoa.,
4,Sci e impianti sciistici,Piste e infrastrutture per sport invernali.,
5,Maneggi,Centri equestri e maneggi.,
6,Pesca,Luoghi dedicati alla pesca sportiva o ricreativa.,
7,Centri benessere,"Spa, terme e strutture wellness.",
8,Piscine,Piscine e impianti per il nuoto.,
9,Parchi,Parchi urbani e aree verdi attrezzate.,
10,Foreste,Aree boschive e foreste di interesse naturalistico.,
11,Riserve naturali,Aree protette e riserve naturali.,
12,Picchi e montagne,"Cime, picchi e punti notevoli in quota.",
13,Cascate,Cascate e salti d'acqua di interesse turistico.,
14,Campeggi,Campeggi e aree per soggiorni outdoor.,
15,Aree picnic,Aree attrezzate per picnic e pause all'aperto.,
16,Sentieri,Sentieri escursionistici utili per percorsi a piedi.,
17,Piste ciclabili,Percorsi ciclabili dedicati o protetti.,
18,Stazioni,Stazioni ferroviarie per itinerari multimodali.,
19,Fermate bus,Fermate autobus utili per gli spostamenti locali.,
20,Parcheggi,Parcheggi di supporto agli itinerari.,
21,Fast food,Punti ristoro veloci.,
22,Caffe,Bar caffetteria e caffe storici.,
23,Gelaterie,Gelaterie artigianali e punti dessert.,
24,Panetterie,"Forni, panetterie e punti bakery.",
25,Enoteche,Enoteche e negozi specializzati in vino.,
26,Ristoranti,Ristoranti e locali per la ristorazione tradizionale.,
27,Bar,Bar e locali informali.,
28,Pub,Pub e birrerie.,
29,Hotel,Strutture alberghiere per soggiorni multi-giorno.,
30,B&B,Guest house e bed & breakfast.,
31,Ostelli,Ostelli per soggiorni economici.,
32,Agriturismi,Agriturismi e strutture rurali ricettive.,
33,Teatri,Teatri e sale per spettacoli dal vivo.,
34,Sale concerti,Spazi dedicati a concerti ed eventi musicali.,
35,Biblioteche,Biblioteche e spazi culturali di consultazione.,
36,Stadi,Stadi e grandi impianti sportivi.,
37,Musei,Musei e raccolte visitabili.,
38,Cinema,Cinema e sale di proiezione.,
39,Centri commerciali,Mall e grandi poli commerciali.,
40,Mercati,Mercati e piazze di vendita tradizionali.,
41,Abbigliamento,Negozi di abbigliamento.,
42,Artigianato locale,Botteghe e negozi di artigianato.,
43,Chiese,Chiese e principali luoghi di culto visitabili.,
44,Abbazie,Abbazie e complessi monastici storici.,
45,Santuari,Santuari e luoghi devozionali di rilievo.,
46,Punti panoramici,Belvedere e viewpoint panoramici.,
47,Landmark,Attrazioni e punti di interesse iconici.,
48,Ponti famosi,Ponti di interesse storico o paesaggistico.,
49,Castelli,Castelli e fortificazioni storiche.,
50,Monumenti,Monumenti e memoriali di interesse turistico.,
51,Bagni,Servizi igienici pubblici.,
52,Fontanelle,Punti di acqua potabile e fontanelle.,
53,Benzinai,Stazioni di rifornimento carburante.,
54,Farmacie,Farmacie e punti salute utili in viaggio.,